joint,condition,label,n_subjects,rmse_mean,rmse_sd,r2_mean,r2_sd
hip,LG_0p8mps,LG 0.8,7,0.09674450769996268,0.023409075349600697,0.7697834720098304,0.1276601678500445
hip,LG_1p2mps,LG 1.2,8,0.13395269850017139,0.02562222641873252,0.8287131257797935,0.0780097888405222
hip,LG_1p6mps,LG 1.6,8,0.14334909558575698,0.018087066200557056,0.9052559217778351,0.03317744969516018
hip,RA_0p8mps,RA 0.8,8,0.19795056355930393,0.0693279006113103,0.6217653204232507,0.2603675901593167
hip,RD_0p8mps,RD 0.8,8,0.11974366815813367,0.026871462081950903,0.6896220183664397,0.12949890813046674
knee,LG_0p8mps,LG 0.8,7,0.0972569785637047,0.04439061017298231,0.038387400721920324,1.3302465767502734
knee,LG_1p2mps,LG 1.2,8,0.09134052592317253,0.050036715883849094,0.8055632557627734,0.1555373423093327
knee,LG_1p6mps,LG 1.6,8,0.09314121675146203,0.04112887099272539,0.9003423678509748,0.07220879248086791
knee,RA_0p8mps,RA 0.8,8,0.1235442802300413,0.05375960617218926,0.7432325313172858,0.17669641600629848
knee,RD_0p8mps,RD 0.8,8,0.12420348722459229,0.07297096871171065,0.7666287541513546,0.31462247209184335
ankle,LG_0p8mps,LG 0.8,7,0.11969007586504478,0.04733167716945901,0.9312887680292243,0.048997413325526464
ankle,LG_1p2mps,LG 1.2,8,0.1281207115385707,0.04458328415557317,0.9432011703269425,0.03501598541176319
ankle,LG_1p6mps,LG 1.6,8,0.1284717503849343,0.05003768894050852,0.9528234305669889,0.032814194125870895
ankle,RA_0p8mps,RA 0.8,8,0.13162488171311848,0.06141330452354164,0.9191543349331492,0.06930528140149313
ankle,RD_0p8mps,RD 0.8,8,0.12290947307411702,0.033881008714799085,0.9207732245137968,0.04117845624714823
