bundle,model,joint,trial,subject,condition,channel,display,rmse,r2,lag_s,xcorr,fail_rmse,fail_r2,flagged,fail_reason
1-DoF/ankle,1-DoF,ankle,AB05_Maria::LG_0p8mps,AB05_Maria,LG_0p8mps,ankle_angle_r,Ankle R,0.756576469006441,0.038079475532185665,1.9599999999999582,2.849270558787822,True,True,True,"RMSE=0.757, R²=0.038"
1-DoF/ankle,1-DoF,ankle,AB06_Jimin::RD_0p8mps,AB06_Jimin,RD_0p8mps,ankle_angle_r,Ankle R,0.32082120055385216,0.48159163120156007,8.41999999999982,3.9328318664613597,True,True,True,"RMSE=0.321, R²=0.482"
1-DoF/ankle,1-DoF,ankle,AB07_Amy::LG_1p6mps,AB07_Amy,LG_1p6mps,ankle_angle_r,Ankle R,0.4469442875849292,0.4826137956866303,2.389999999999949,3.966593541410664,True,True,True,"RMSE=0.447, R²=0.483"
1-DoF/ankle,1-DoF,ankle,AB08_Seokhyun::RD_0p8mps,AB08_Seokhyun,RD_0p8mps,ankle_angle_r,Ankle R,0.3808672946088867,0.5124127352297524,1.829999999999961,3.956067985015208,True,True,True,"RMSE=0.381, R²=0.512"
1-DoF/ankle,1-DoF,ankle,AB06_Jimin::RD_0p8mps,AB06_Jimin,RD_0p8mps,ankle_angle_l,Ankle L,0.30314878726276423,0.5190287971687181,8.41999999999982,3.9328318664613597,True,True,True,"RMSE=0.303, R²=0.519"
1-DoF/ankle,1-DoF,ankle,AB05_Maria::LG_0p8mps,AB05_Maria,LG_0p8mps,ankle_angle_l,Ankle L,0.3998068784274128,0.532207573866034,1.9599999999999582,2.849270558787822,True,True,True,"RMSE=0.400, R²=0.532"
1-DoF/ankle,1-DoF,ankle,AB08_Seokhyun::RA_0p8mps,AB08_Seokhyun,RA_0p8mps,ankle_angle_r,Ankle R,0.36371145926192083,0.6148111740638924,6.3099999999998655,3.9560814036967917,True,False,True,RMSE=0.364
1-DoF/ankle,1-DoF,ankle,AB08_Seokhyun::RD_0p8mps,AB08_Seokhyun,RD_0p8mps,ankle_angle_l,Ankle L,0.3251937055552714,0.6158956068892962,1.829999999999961,3.956067985015208,True,False,True,RMSE=0.325
1-DoF/ankle,1-DoF,ankle,AB01_Jinwoo::RA_0p8mps,AB01_Jinwoo,RA_0p8mps,ankle_angle_l,Ankle L,0.3557973759884702,0.7066856666203692,8.729999999999814,3.9759717506613015,True,False,True,RMSE=0.356
1-DoF/ankle,1-DoF,ankle,AB08_Seokhyun::RA_0p8mps,AB08_Seokhyun,RA_0p8mps,ankle_angle_l,Ankle L,0.29027655904727534,0.7158864837461616,6.3099999999998655,3.9560814036967917,True,False,True,RMSE=0.290
1-DoF/ankle,1-DoF,ankle,AB07_Amy::LG_1p6mps,AB07_Amy,LG_1p6mps,ankle_angle_l,Ankle L,0.27910211031612703,0.7842483383062812,2.389999999999949,3.966593541410664,True,False,True,RMSE=0.279
1-DoF/ankle,1-DoF,ankle,AB01_Jinwoo::LG_0p8mps,AB01_Jinwoo,LG_0p8mps,ankle_angle_l,Ankle L,0.27468415496255894,0.8453592050591242,7.109999999999848,3.9461892168886123,True,False,True,RMSE=0.275
1-DoF/ankle,1-DoF,ankle,AB01_Jinwoo::LG_1p2mps,AB01_Jinwoo,LG_1p2mps,ankle_angle_r,Ankle R,0.2900239157344765,0.8500534789655779,7.219999999999846,3.9428819672547317,True,False,True,RMSE=0.290
