bundle,model,joint,trial,subject,condition,n_ch,n_flagged,mean_rmse,mean_r2,min_r2,max_rmse,flagged
1-DoF/ankle,1-DoF,ankle,AB01_Jinwoo::LG_0p8mps,AB01_Jinwoo,LG_0p8mps,2,1,0.24632418814395513,0.8553490449039884,0.8453592050591242,0.27468415496255894,True
1-DoF/ankle,1-DoF,ankle,AB01_Jinwoo::LG_1p2mps,AB01_Jinwoo,LG_1p2mps,2,2,0.2888971815256044,0.8544848801511989,0.8500534789655779,0.2900239157344765,True
1-DoF/ankle,1-DoF,ankle,AB01_Jinwoo::LG_1p6mps,AB01_Jinwoo,LG_1p6mps,2,2,0.2598971321704844,0.9234769342446882,0.9164469181485521,0.2619981737544754,True
1-DoF/ankle,1-DoF,ankle,AB01_Jinwoo::RA_0p8mps,AB01_Jinwoo,RA_0p8mps,2,1,0.2970287240891145,0.7842747027958721,0.7066856666203692,0.3557973759884702,True
1-DoF/ankle,1-DoF,ankle,AB05_Maria::LG_0p8mps,AB05_Maria,LG_0p8mps,2,2,0.5781916737169269,0.28514352469910986,0.038079475532185665,0.756576469006441,True
1-DoF/ankle,1-DoF,ankle,AB06_Jimin::RD_0p8mps,AB06_Jimin,RD_0p8mps,2,2,0.3119849939083082,0.5003102141851391,0.48159163120156007,0.32082120055385216,True
1-DoF/ankle,1-DoF,ankle,AB07_Amy::LG_1p6mps,AB07_Amy,LG_1p6mps,2,2,0.36302319895052815,0.6334310669964558,0.4826137956866303,0.4469442875849292,True
1-DoF/ankle,1-DoF,ankle,AB08_Seokhyun::LG_1p6mps,AB08_Seokhyun,LG_1p6mps,2,2,0.29167591517393004,0.9566612631717546,0.954163562982407,0.3276571005263843,True
1-DoF/ankle,1-DoF,ankle,AB08_Seokhyun::RA_0p8mps,AB08_Seokhyun,RA_0p8mps,2,2,0.3269940091545981,0.665348828905027,0.6148111740638924,0.36371145926192083,True
1-DoF/ankle,1-DoF,ankle,AB08_Seokhyun::RD_0p8mps,AB08_Seokhyun,RD_0p8mps,2,2,0.35303050008207904,0.5641541710595244,0.5124127352297524,0.3808672946088867,True
1-DoF/hip,1-DoF,hip,AB02_Oscar::LG_1p2mps,AB02_Oscar,LG_1p2mps,2,1,0.2537015441879128,0.6730996598447888,0.6070958232871986,0.2599843943365219,True
1-DoF/hip,1-DoF,hip,AB02_Oscar::RD_0p8mps,AB02_Oscar,RD_0p8mps,2,2,0.21245189272194598,0.2806624918573699,0.26986928450074443,0.22658983765284502,True
1-DoF/hip,1-DoF,hip,AB03_Ilseung::RD_0p8mps,AB03_Ilseung,RD_0p8mps,2,1,0.15295545774491126,0.6209418954830311,0.576793590524497,0.1546597125998487,True
