trial,trial_key,subject,task,condition,rmse_nmpkg,r2_nmpkg,offset_s,sync_method,platform,channel,source,lag_samples,xcorr_score,n_samples,speed_mps,rmse_vicon_oracle_nmpkg,r2_vicon_oracle_nmpkg,model_in_ang_rmse_deg,model_in_vel_rmse_deg_s,rmse_enc_vs_vicon_nmpkg,encoder_replay_excluded,encoder_correction_note,encoder_xcorr_lag_samples,encoder_offset_deg,encoder_peak_trough_applied,encoder_peak_trough_lag_med,encoder_angle_key
ab01_jinwoo_hip_0p8mps_lg_exo_on,AB01_Jinwoo::LG_0p8mps,AB01_Jinwoo,LG,LG_0p8mps,0.0789929019661031,0.8527097916917608,-0.2330531560000808,gpio_falling_edge,hip_exo_assisted,hip_flexion_r,assisted,,,,,,,,,,,,,,,,
ab01_jinwoo_hip_0p8mps_ra_exo_on,AB01_Jinwoo::RA_0p8mps,AB01_Jinwoo,RA,RA_0p8mps,0.1347683054316661,0.8237989208829727,-0.2360404650000291,gpio_falling_edge,hip_exo_assisted,hip_flexion_r,assisted,,,,,,,,,,,,,,,,
ab01_jinwoo_hip_1p2mps_lg_exo_on,AB01_Jinwoo::LG_1p2mps,AB01_Jinwoo,LG,LG_1p2mps,0.1551034540179758,0.7032035979396652,-0.2350654639999765,gpio_falling_edge,hip_exo_assisted,hip_flexion_r,assisted,,,,,,,,,,,,,,,,
ab01_jinwoo_hip_1p6mps_lg_exo_on,AB01_Jinwoo::LG_1p6mps,AB01_Jinwoo,LG,LG_1p6mps,0.2367728589573059,0.7181169520628228,-0.2390561270000388,gpio_falling_edge,hip_exo_assisted,hip_flexion_r,assisted,,,,,,,,,,,,,,,,
ab02_oscar_hip_0p8mps_lg_exo_on,AB02_Oscar::LG_0p8mps,AB02_Oscar,LG,LG_0p8mps,0.1562371584775771,0.6144237159471433,-0.2300384020000092,gpio_falling_edge,hip_exo_assisted,hip_flexion_r,assisted,,,,,,,,,,,,,,,,
ab02_oscar_hip_0p8mps_ra_exo_on,AB02_Oscar::RA_0p8mps,AB02_Oscar,RA,RA_0p8mps,0.1890130187991436,0.7987924934372992,-0.2360498710000238,gpio_falling_edge,hip_exo_assisted,hip_flexion_r,assisted,,,,,,,,,,,,,,,,
ab02_oscar_hip_1p2mps_lg_exo_on,AB02_Oscar::LG_1p2mps,AB02_Oscar,LG,LG_1p2mps,0.1959333269714258,0.7249620873373472,-0.2320591249999866,gpio_falling_edge,hip_exo_assisted,hip_flexion_r,assisted,,,,,,,,,,,,,,,,
ab02_oscar_hip_1p6mps_lg_exo_on,AB02_Oscar::LG_1p6mps,AB02_Oscar,LG,LG_1p6mps,0.2037430122687006,0.8204413651276348,-0.2320625019999802,gpio_falling_edge,hip_exo_assisted,hip_flexion_r,assisted,,,,,,,,,,,,,,,,
ab03_ilseung_hip_0p8mps_lg_exo_on,AB03_Ilseung::LG_0p8mps,AB03_Ilseung,LG,LG_0p8mps,0.0792559881826512,0.8582938012149423,-0.2210601969999706,gpio_falling_edge,hip_exo_assisted,hip_flexion_r,assisted,,,,,,,,,,,,,,,,
ab03_ilseung_hip_0p8mps_ra_exo_on,AB03_Ilseung::RA_0p8mps,AB03_Ilseung,RA,RA_0p8mps,0.1783334277286362,0.8220528646842999,-0.2330492289999919,gpio_falling_edge,hip_exo_assisted,hip_flexion_r,assisted,,,,,,,,,,,,,,,,
