trial,channel,joint,subject,condition,rmse_full,r2_full,rmse_single,r2_single,delta_rmse,delta_r2,single_worse_rmse,single_worse_r2
AB01_Jinwoo::LG_0p8mps,hip_flexion_r,hip,AB01_Jinwoo,LG_0p8mps,0.0903640765,0.7909089158,0.10743884990000001,0.7044257564,0.017074773400000007,-0.08648315939999995,True,True
AB01_Jinwoo::LG_0p8mps,knee_angle_r,knee,AB01_Jinwoo,LG_0p8mps,0.10544634700000001,0.4754732836,0.1494415693,-0.0535311347,0.043995222299999984,-0.5290044183,True,True
AB01_Jinwoo::LG_0p8mps,ankle_angle_r,ankle,AB01_Jinwoo,LG_0p8mps,0.2162328772,0.81193483,0.2179642213,0.8089111542,0.001731344100000004,-0.0030236757999999586,True,True
AB01_Jinwoo::LG_0p8mps,hip_flexion_l,hip,AB01_Jinwoo,LG_0p8mps,0.07512384300000001,0.8738752109,0.1070186722,0.7440447882,0.03189482919999999,-0.1298304227,True,True
AB01_Jinwoo::LG_0p8mps,knee_angle_l,knee,AB01_Jinwoo,LG_0p8mps,0.2995795274,-1.6173279455,0.3264611351,-2.1081133734,0.026881607700000032,-0.4907854279000001,True,True
AB01_Jinwoo::LG_0p8mps,ankle_angle_l,ankle,AB01_Jinwoo,LG_0p8mps,0.3802091953,0.45342574900000004,0.27468415500000004,0.7147201139,-0.10552504029999998,0.26129436489999996,False,False
AB01_Jinwoo::RA_0p8mps,hip_flexion_r,hip,AB01_Jinwoo,RA_0p8mps,0.1157467123,0.8531217852,0.158680588,0.7239500586000001,0.04293387570000001,-0.12917172659999998,True,True
AB01_Jinwoo::RA_0p8mps,knee_angle_r,knee,AB01_Jinwoo,RA_0p8mps,0.11855300760000001,0.7832756488,0.12946032770000002,0.7415622426,0.010907320100000006,-0.04171340619999997,True,True
AB01_Jinwoo::RA_0p8mps,ankle_angle_r,ankle,AB01_Jinwoo,RA_0p8mps,0.11119955720000001,0.9587436177,0.2382600722,0.8105966897,0.12706051499999998,-0.14814692800000007,True,True
AB01_Jinwoo::RA_0p8mps,hip_flexion_l,hip,AB01_Jinwoo,RA_0p8mps,0.1012132347,0.9072780565,0.1729920811,0.7291303397000001,0.0717788464,-0.17814771679999997,True,True
AB01_Jinwoo::RA_0p8mps,knee_angle_l,knee,AB01_Jinwoo,RA_0p8mps,0.2179303205,0.1776053901,0.2666944988,-0.23160957040000002,0.048764178300000016,-0.40921496050000006,True,True
AB01_Jinwoo::RA_0p8mps,ankle_angle_l,ankle,AB01_Jinwoo,RA_0p8mps,0.3347284285,0.5998421514,0.355797376,0.5478821810000001,0.02106894749999999,-0.05195997039999989,True,True
AB01_Jinwoo::RD_0p8mps,hip_flexion_r,hip,AB01_Jinwoo,RD_0p8mps,0.1380853387,0.6295443648,0.1460575526,0.5855338141,0.007972213899999997,-0.04401055069999993,True,True
AB01_Jinwoo::RD_0p8mps,knee_angle_r,knee,AB01_Jinwoo,RD_0p8mps,0.2630087671,0.0868648907,0.3840971238,-0.9474965673,0.12108835670000001,-1.034361458,True,True
AB01_Jinwoo::RD_0p8mps,ankle_angle_r,ankle,AB01_Jinwoo,RD_0p8mps,0.1967432042,0.8161812794000001,0.15885664830000001,0.8801602073,-0.03788655589999998,0.06397892789999993,False,False
AB01_Jinwoo::RD_0p8mps,hip_flexion_l,hip,AB01_Jinwoo,RD_0p8mps,0.08494992550000001,0.8281732276,0.135710662,0.5614766066,0.0507607365,-0.266696621,True,True
AB01_Jinwoo::RD_0p8mps,knee_angle_l,knee,AB01_Jinwoo,RD_0p8mps,0.5056710063000001,-0.7054946869000001,0.6456344636,-1.7802744832,0.13996345729999993,-1.0747797962999999,True,True
