trial,condition,task,t_s,gt_nmpkg,model_out_nmpkg
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.0,-0.24451077327934786,-0.35078215482333786
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.009997052000016993,-0.27166322179197216,-0.3588161013871555
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.019994551999957366,-0.29566697590128804,-0.3645075541449651
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.029995506999966892,-0.31613223270331675,-0.36767983577175783
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.040003150999950776,-0.3334562862898914,-0.3682729712038449
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.04998961000001145,-0.3485973452706615,-0.36634469585234314
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.059996325999918554,-0.3626815485726885,-0.36206340053610664
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.07000022599993372,-0.37660960040401276,-0.35569361930530924
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.07999718199994277,-0.3906767731268918,-0.34757522737850993
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.08998956099992483,-0.40430930030443013,-0.3380979929212198
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.1000006609999673,-0.41611524714515336,-0.32767346091333566
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.11000164899996889,-0.4242469883228909,-0.316706312730713
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.11999517999993259,-0.42686203849266624,-0.30556734488251847
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.12999315999991268,-0.42252507101732295,-0.2945700624889552
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.1399947229999725,-0.4105021686145675,-0.28395260262549116
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.14999027099997875,-0.39093579591728533,-0.2738662967645408
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.1600015629999234,-0.3648995478334449,-0.2643716571156768
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.16999803900000643,-0.3342454100014658,-0.25544194779110724
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.17999633799990988,-0.30126637808621193,-0.24697381852580427
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.1899976139999353,-0.2683391514949433,-0.2388037986858597
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.1999960729999657,-0.23757936515107442,-0.2307288520454379
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.2100080689999686,-0.21052751086975605,-0.22252876483615042
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.21999161700000514,-0.18796624183390662,-0.21398795982098673
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.2299946519999594,-0.17003342811499156,-0.20491444855036578
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.23999356000001626,-0.1565972051522365,-0.1951540529629602
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.24999201999992238,-0.1474423704231321,-0.1845986850220934
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.25999835099992197,-0.1421274967415626,-0.17318826095321183
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.2699937069999123,-0.13994114273104122,-0.16090662532861114
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.2799988869999197,-0.14001671913535643,-0.1477725712987973
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.290000225999961,-0.14130867904981345,-0.13382759880287073
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.30000179000001026,-0.14258355960521316,-0.11912240733355724
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.3099947139999131,-0.14262702098138244,-0.10370424308163896
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.3199925970000095,-0.1404688538903459,-0.08760709324587315
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.3299938089999159,-0.13550685995162895,-0.07084633664110516
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.33999895699992067,-0.1275236767674907,-0.05341883362594814
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.34999309599993467,-0.11662263956987294,-0.03530862239981739
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.35999654799991276,-0.10324521111490925,-0.01649748770335513
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.3699943029999986,-0.08818059530549274,0.0030211703636523392
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.37999698699991313,-0.07234247921904789,0.023227356954239053
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.3899945509999725,-0.056476692903001606,0.04406084801294174
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.3999982269999691,-0.0410054445156827,0.06541120136209956
ab03_ilseung_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.4099947339999517,-0.02600514815333478,0.08711315131308861
