trial,condition,task,t_s,gt_nmpkg,model_out_nmpkg
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.0,-0.26365377732127426,-0.250261257888999
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.009997426000040832,-0.24548761994900598,-0.237908192203878
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.01999184500004958,-0.23040279187077048,-0.22516900553185584
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.02999391100001958,-0.21884022532552835,-0.2119254632419719
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.039993897000044853,-0.21092451623672048,-0.19809015147118525
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.0499956439999778,-0.2063225229358588,-0.18361336916724483
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.059995790000016314,-0.20437185224719723,-0.16848318886631064
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.07000009700004739,-0.2042615138890166,-0.15271953597452825
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.07999611499997172,-0.20509256309702123,-0.13636397685354204
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.0899976370000104,-0.20587651692501935,-0.11946748710039937
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.09999685599996155,-0.2055422880266879,-0.10207868595563538
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.10999012199999925,-0.20305512384208346,-0.08423480876221424
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.11999186800005646,-0.19762837672316352,-0.06595706121060875
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.12999751899997136,-0.18890528601889098,-0.04725106456680116
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.13999945700004446,-0.17702612845634214,-0.028112047426247174
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.1499972039999875,-0.16252444109318295,-0.008533490657343101
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.15999235800006772,-0.14617028608451715,0.011482706749896963
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.1700070650000498,-0.12884226969549475,0.03191666939461293
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.17999143400004414,-0.11133104447409967,0.05272345331122866
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.18999209300000075,-0.09414615320645699,0.07382963210189662
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.19999527900006342,-0.07746564977053585,0.09513391921531246
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.20999574600000415,-0.061185822844028036,0.11651132051330938
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.21999310800003968,-0.04501877313303044,0.13781962426837507
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.22999255000001995,-0.028680238061012546,0.15890666711802204
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.2399918329999764,-0.012137545098556033,0.1796168334652037
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.24999492300003112,0.004268529280439726,0.19979563150267599
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.25998927700004515,0.019931058722564416,0.21929183454386023
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.26999419200001284,0.03429208327439929,0.2379574141263511
ab06_jimin_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.27999760199998036,0.047273164913122515,0.25564613167910755
