trial,condition,task,t_s,gt_nmpkg,model_out_nmpkg
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.0,-0.2498729455555095,-0.13841143322613889
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.010000597000043854,-0.2295962512658401,-0.12447517071427094
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.02000093799995284,-0.2093814122282798,-0.10937180342765612
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.03000243099995714,-0.18983184498806488,-0.09307239594468844
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.040001748000008774,-0.17116390892372776,-0.07563686482842467
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.05000016899998627,-0.15325740619250244,-0.05720755446534694
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.06000246300004619,-0.13580446290649284,-0.03799637867333448
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.07000421199995799,-0.11846946080494285,-0.018266660674026963
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.08000116100004107,-0.10101090767005197,0.0016886747419493696
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.0900077420000116,-0.08332711049883336,0.021570492265929192
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.10000465899997835,-0.0654270330322695,0.041096139069012265
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.11000013600005332,-0.04733760307276101,0.0600192084529753
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.12000383700001294,-0.028986297846618474,0.07814449179190784
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.1300074419999646,-0.010139774025822949,0.09533685248969645
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.13999895100005233,0.009579219582329988,0.11152354072658749
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.15000278000002254,0.03059741537624098,0.12669028080322475
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.16000014500002635,0.053225764027933935,0.14087216022626123
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.17000384599998597,0.07758087984662274,0.15414082534194506
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.18000630000005913,0.10371862759608615,0.1665896992913937
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.19000190400004158,0.1317874411754871,0.1783189051338277
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.20000109399995836,0.16200798148024584,0.18942136313784594
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.20999983499996233,0.19453677374228748,0.1999712104600725
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.22000446399999873,0.22926534622026287,0.2100153251983847
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.23000102900005004,0.26567778472833403,0.21956836806256905
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.2399992900000143,0.3029477831470331,0.22861141424710946
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.25000388700004805,0.340063137611339,0.23709395811130074
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.25999936400000934,0.37568371503983117,0.2449388447516955
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.2699979129999974,0.40797743856829843,0.2520495113153397
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.2799993739999991,0.43475689317389393,0.25831879575844224
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.2899976029999607,0.45373080004161653,0.26363848849784777
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.2999980399999913,0.46271062348799424,0.26790877501757926
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.30999908499995854,0.4600619741676034,0.27104676335956895
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.31999910599995474,0.44543023866472686,0.2729934168870967
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.3299993189999668,0.4202036894614918,0.27371840537196895
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.3400001400000292,0.3873634032423048,0.27322261550557553
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.3499995539999645,0.3508077725943565,0.271538294365045
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.3599973670000054,0.3143895883876,0.26872701715548997
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.36999962799995956,0.28103667476533506,0.2648758638606646
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.38000572900000407,0.2522661460497378,0.2600923440160035
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.3900026459999708,0.22816279025380987,0.25449869725712193
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.4000002029999905,0.20777814578547538,0.2482261871731809
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.4099999359999629,0.1897657013314928,0.24140988123465476
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.41999662900002477,0.17296330606049573,0.2341841884262685
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.4300006180000082,0.15674197131552928,0.22667916160303228
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.43999926300000425,0.14108760559093358,0.21901733337935925
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.45000069200000326,0.1264659272293027,0.21131070508092073
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.45999930499999664,0.11356524369332963,0.2036574843733877
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.46999900599996636,0.10301962602599139,0.1961382715660885
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.47999889899995196,0.09519457707485508,0.18881160001554828
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.4900034009999672,0.09008151001847343,0.1817089959310309
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.5000001580000344,0.08730914980257337,0.17482998518627482
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.5100043070000311,0.08624898654676223,0.1681376928960279
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.5199999440000056,0.08617340575502747,0.16155581800891547
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.5299983649999831,0.08642039470040577,0.1549677903651848
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.5399991220000402,0.08652587209748656,0.14821881117598035
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.5500022469999521,0.0862994184713084,0.14112123613745625
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.5599986199999876,0.0858361821592835,0.1334634057397001
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.5699990890000208,0.08547232903757404,0.1250216097255461
ab07_amy_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.5799990460000117,0.08570134392048008,0.11557445952066897
