trial,trial_key,subject,task,condition,rmse_nmpkg,r2_nmpkg,offset_s
ab01_jinwoo_hip_0p8mps_lg_exo_on,AB01_Jinwoo::LG_0p8mps,AB01_Jinwoo,LG,LG_0p8mps,0.07915286405533438,0.8521126569002672,-0.2330531560000808
ab01_jinwoo_hip_0p8mps_ra_exo_on,AB01_Jinwoo::RA_0p8mps,AB01_Jinwoo,RA,RA_0p8mps,0.13480529379217626,0.8237021877023709,-0.23604046500002918
ab01_jinwoo_hip_1p2mps_lg_exo_on,AB01_Jinwoo::LG_1p2mps,AB01_Jinwoo,LG,LG_1p2mps,0.15498509651822334,0.7036563883356899,-0.23506546399997652
ab01_jinwoo_hip_1p6mps_lg_exo_on,AB01_Jinwoo::LG_1p6mps,AB01_Jinwoo,LG,LG_1p6mps,0.23657826599306392,0.7185800956657258,-0.23905612700003886
ab03_ilseung_hip_0p8mps_lg_exo_on,AB03_Ilseung::LG_0p8mps,AB03_Ilseung,LG,LG_0p8mps,0.07922725479811225,0.858396530629334,-0.2210601969999706
ab03_ilseung_hip_0p8mps_ra_exo_on,AB03_Ilseung::RA_0p8mps,AB03_Ilseung,RA,RA_0p8mps,0.1785177901173489,0.8216847484283418,-0.23304922899999192
ab03_ilseung_hip_1p2mps_lg_exo_on,AB03_Ilseung::LG_1p2mps,AB03_Ilseung,LG,LG_1p2mps,0.11515014431389768,0.8863327663326974,-0.23404127300000166
ab03_ilseung_hip_1p6mps_lg_exo_on,AB03_Ilseung::LG_1p6mps,AB03_Ilseung,LG,LG_1p6mps,0.17181761339787782,0.8534675561291988,-0.19705418400000063
ab04_changseob_hip_0p8mps_lg_exo_on,AB04_Changseob::LG_0p8mps,AB04_Changseob,LG,LG_0p8mps,0.11163706865699279,0.8087973527172574,-0.23103956499998812
ab04_changseob_hip_0p8mps_ra_exo_on,AB04_Changseob::RA_0p8mps,AB04_Changseob,RA,RA_0p8mps,0.14096160917958372,0.9055363409968069,-0.1370676320001185
ab04_changseob_hip_1p2mps_lg_exo_on,AB04_Changseob::LG_1p2mps,AB04_Changseob,LG,LG_1p2mps,0.13958246317698525,0.8650722152945604,-0.23003775100008172
ab04_changseob_hip_1p6mps_lg_exo_on,AB04_Changseob::LG_1p6mps,AB04_Changseob,LG,LG_1p6mps,0.2436158213061045,0.7771210838200371,-0.23206445499996065
ab05_maria_hip_0p8mps_lg_exo_on,AB05_Maria::LG_0p8mps,AB05_Maria,LG,LG_0p8mps,0.20148988888809333,0.5150962609506864,-0.22906030199998795
ab05_maria_hip_0p8mps_ra_exo_on,AB05_Maria::RA_0p8mps,AB05_Maria,RA,RA_0p8mps,0.13283716511265908,0.890208502296143,-0.12605654900001007
ab05_maria_hip_1p2mps_lg_exo_on,AB05_Maria::LG_1p2mps,AB05_Maria,LG,LG_1p2mps,0.1129064784219016,0.908299258171067,-0.23603926199990477
ab06_jimin_hip_0p8mps_lg_exo_on,AB06_Jimin::LG_0p8mps,AB06_Jimin,LG,LG_0p8mps,0.1399223381756333,0.7584751362686333,-0.23805788499996927
ab06_jimin_hip_0p8mps_ra_exo_on,AB06_Jimin::RA_0p8mps,AB06_Jimin,RA,RA_0p8mps,0.14030129364740035,0.9085678574241788,-0.24005893300002756
ab06_jimin_hip_1p2mps_lg_exo_on,AB06_Jimin::LG_1p2mps,AB06_Jimin,LG,LG_1p2mps,0.15661247002148096,0.8584569376291578,-0.22704151699992225
ab06_jimin_hip_1p6mps_lg_exo_on,AB06_Jimin::LG_1p6mps,AB06_Jimin,LG,LG_1p6mps,0.2456982911382016,0.8080141200618005,-0.23505527399985104
ab08_seokhyun_hip_0p8mps_lg_exo_on,AB08_Seokhyun::LG_0p8mps,AB08_Seokhyun,LG,LG_0p8mps,0.11466014006808799,0.8008686922093967,-0.23606474800015897
ab08_seokhyun_hip_0p8mps_ra_exo_on,AB08_Seokhyun::RA_0p8mps,AB08_Seokhyun,RA,RA_0p8mps,0.21837693846744563,0.6590517509945497,-0.19306136899995918
ab08_seokhyun_hip_1p2mps_lg_exo_on,AB08_Seokhyun::LG_1p2mps,AB08_Seokhyun,LG,LG_1p2mps,0.17470164221834725,0.7646546877559186,-0.2370478969998675
ab08_seokhyun_hip_1p6mps_lg_exo_on,AB08_Seokhyun::LG_1p6mps,AB08_Seokhyun,LG,LG_1p6mps,0.23415040721228633,0.7537834143224389,-0.2350533220000306
