trial,rmse_encoder_replay_nmpkg,r2_encoder_replay_nmpkg,rmse_vicon_oracle_nmpkg,r2_vicon_oracle_nmpkg,rmse_deploy_logged_nmpkg,r2_deploy_logged_nmpkg,encoder_ik_xcorr_lag_samples,ang_corr_sensor_vicon,encoder_angle_key,encoder_vel_key,encoder_correction_note,vicon_ik_path,subject,condition,task,speed_mps,offset_s,rmse_deploy_ref_nmpkg,r2_deploy_ref_nmpkg
ab01_jinwoo_hip_0p8mps_lg_exo_on,0.16713440583054348,0.34134507320534446,0.1764413170279727,0.26594803947953605,0.0789929019661031,0.8527097916917608,-1,0.987169419525446,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift -1 samples,/media/metamobility3/Samsung_T52/Results/processed/AB01_Jinwoo/hip-exo/ik/LG_0p8mps_ik.mot,AB01_Jinwoo,LG_0p8mps,LG,0.8,-0.2331,0.079,0.8527
ab01_jinwoo_hip_0p8mps_ra_exo_on,0.31968546988149815,0.012613795908691716,0.204039242370201,0.5977753666538872,0.13476830543166612,0.8237989208829727,-1,0.985663707485891,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift -1 samples,/media/metamobility3/Samsung_T52/Results/processed/AB01_Jinwoo/hip-exo/ik/RA_0p8mps_ik.mot,AB01_Jinwoo,RA_0p8mps,RA,0.8,-0.236,0.1348,0.8238
ab01_jinwoo_hip_1p2mps_lg_exo_on,0.17324370208281697,0.6295154676623392,0.1472108769138313,0.7324931120144111,0.1551034540179758,0.7032035979396652,-1,0.9794678972428057,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift -1 samples,/media/metamobility3/Samsung_T52/Results/processed/AB01_Jinwoo/hip-exo/ik/LG_1p2mps_ik.mot,AB01_Jinwoo,LG_1p2mps,LG,1.2,-0.2351,0.1551,0.7032
ab01_jinwoo_hip_1p6mps_lg_exo_on,0.19220638287011493,0.813397788515398,0.18903871651324453,0.8194977188729867,0.2367728589573059,0.7181169520628228,-1,0.9771837693080133,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift -1 samples,/media/metamobility3/Samsung_T52/Results/processed/AB01_Jinwoo/hip-exo/ik/LG_1p6mps_ik.mot,AB01_Jinwoo,LG_1p6mps,LG,1.6,-0.2391,0.2368,0.7181
ab02_oscar_hip_0p8mps_lg_exo_on,0.18615528724220445,0.4509318840807296,0.19934407676382335,0.3703747370362318,0.1562371584775771,0.6144237159471433,0,0.9841698890166161,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift +0 samples,/media/metamobility3/Samsung_T52/Results/processed/AB02_Oscar/hip-exo/ik/LG_0p8mps_ik.mot,AB02_Oscar,LG_0p8mps,LG,0.8,-0.23,0.1562,0.6144
ab02_oscar_hip_0p8mps_ra_exo_on,0.31061278363700584,0.4434754382075575,0.17043094040281123,0.8324507200690543,0.18901301879914362,0.7987924934372992,3,0.9774053181797934,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift +3 samples,/media/metamobility3/Samsung_T52/Results/processed/AB02_Oscar/hip-exo/ik/RA_0p8mps_ik.mot,AB02_Oscar,RA_0p8mps,RA,0.8,-0.236,0.189,0.7988
ab02_oscar_hip_1p2mps_lg_exo_on,0.22462819439783915,0.6389206816167482,0.1792336414720211,0.770113674600137,0.1959333269714258,0.7249620873373472,-1,0.9737863181486763,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift -1 samples,/media/metamobility3/Samsung_T52/Results/processed/AB02_Oscar/hip-exo/ik/LG_1p2mps_ik.mot,AB02_Oscar,LG_1p2mps,LG,1.2,-0.2321,0.1959,0.725
ab02_oscar_hip_1p6mps_lg_exo_on,0.25592544137187734,0.7178541396542362,0.1950009446726166,0.836197626146566,0.20374301226870067,0.8204413651276348,-1,0.9750378193107812,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift -1 samples,/media/metamobility3/Samsung_T52/Results/processed/AB02_Oscar/hip-exo/ik/LG_1p6mps_ik.mot,AB02_Oscar,LG_1p6mps,LG,1.6,-0.2321,0.2037,0.8204
ab03_ilseung_hip_0p8mps_lg_exo_on,0.14065160775030386,0.5508242016582658,0.2161062440026499,-0.06038012041261598,0.07925598818265125,0.8582938012149423,0,0.9785994605901683,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift +0 samples,/media/metamobility3/Samsung_T52/Results/processed/AB03_Ilseung/hip-exo/ik/LG_0p8mps_ik.mot,AB03_Ilseung,LG_0p8mps,LG,0.8,-0.2211,0.0793,0.8583
ab03_ilseung_hip_0p8mps_ra_exo_on,0.29111692937711703,0.5151605968827837,0.20218100712408676,0.7661465962524419,0.17833342772863625,0.8220528646842999,3,0.9710575261475395,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift +3 samples,/media/metamobility3/Samsung_T52/Results/processed/AB03_Ilseung/hip-exo/ik/RA_0p8mps_ik.mot,AB03_Ilseung,RA_0p8mps,RA,0.8,-0.233,0.1783,0.8221
ab03_ilseung_hip_1p2mps_lg_exo_on,0.13094447983094917,0.8507088557378287,0.1492425186239728,0.8060700897801563,0.11519307856806316,0.8862479878422258,1,0.9660534101478689,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift +1 samples,/media/metamobility3/Samsung_T52/Results/processed/AB03_Ilseung/hip-exo/ik/LG_1p2mps_ik.mot,AB03_Ilseung,LG_1p2mps,LG,1.2,-0.234,0.1152,0.8862
