trial,trial_key,subject,task,condition,rmse_oracle_nmpkg,r2_oracle_nmpkg,rmse_logged_nmpkg,r2_logged_nmpkg,offset_s
ab01_jinwoo_knee_0p8mps_ra_exo_on,AB01_Jinwoo::RA_0p8mps,AB01_Jinwoo,RA,RA_0p8mps,0.19562332669182805,0.6164611041316826,0.2180436078088786,0.5235088352029647,-0.23605903100001435
ab01_jinwoo_knee_0p8mps_rd_exo_on,AB01_Jinwoo::RD_0p8mps,AB01_Jinwoo,RD,RD_0p8mps,0.24449362831624746,0.2587207300313683,0.3483684744682993,-0.504958268716738,-0.15902960799990895
ab02_oscar_knee_0p8mps_ra_exo_on,AB02_Oscar::RA_0p8mps,AB02_Oscar,RA,RA_0p8mps,0.23990334922736145,0.5237947664908608,0.2937101869745032,0.28622791127187763,-0.2340454559986247
ab02_oscar_knee_0p8mps_rd_exo_on,AB02_Oscar::RD_0p8mps,AB02_Oscar,RD,RD_0p8mps,0.24938239017709557,0.8372006142934406,0.6366114482388321,-0.06088933693361698,-0.23905300699995125
ab03_ilseung_knee_0p8mps_ra_exo_on,AB03_Ilseung::RA_0p8mps,AB03_Ilseung,RA,RA_0p8mps,0.14584696943974385,0.8135899394193438,0.21799960662055745,0.5835278654694389,-0.18005715299997993
ab03_ilseung_knee_0p8mps_rd_exo_on,AB03_Ilseung::RD_0p8mps,AB03_Ilseung,RD,RD_0p8mps,0.16734398313685916,0.7234404715250488,0.2387422614840999,0.4371054690540992,-0.1960534950002475
ab04_changseob_knee_0p8mps_ra_exo_on,AB04_Changseob::RA_0p8mps,AB04_Changseob,RA,RA_0p8mps,0.1434640007199218,0.7494601591710184,0.17266316282926739,0.6370972109800219,-0.21305710399999533
ab04_changseob_knee_0p8mps_rd_exo_on,AB04_Changseob::RD_0p8mps,AB04_Changseob,RD,RD_0p8mps,0.1999531526166073,0.657134331452156,0.1816867466066968,0.7169168721443097,-0.23003801299991666
ab05_maria_knee_0p8mps_ra_exo_on,AB05_Maria::RA_0p8mps,AB05_Maria,RA,RA_0p8mps,0.19381159273586307,0.752459039318543,0.2768196470961867,0.49501161154997675,-0.17907829199994385
ab05_maria_knee_0p8mps_rd_exo_on,AB05_Maria::RD_0p8mps,AB05_Maria,RD,RD_0p8mps,0.8972085336645054,-0.3027092168216785,0.8766236052187385,-0.24361804865843695,-0.136066440999981
ab06_jimin_knee_0p8mps_ra_exo_on,AB06_Jimin::RA_0p8mps,AB06_Jimin,RA,RA_0p8mps,0.17840711057987926,0.621780604642087,0.3065969785009884,-0.11700525942674744,-0.23703414500000863
ab06_jimin_knee_0p8mps_rd_exo_on,AB06_Jimin::RD_0p8mps,AB06_Jimin,RD,RD_0p8mps,0.15874514265828096,0.7357759540829216,0.12069222458750167,0.8472680024178456,-0.23005192100005845
ab07_amy_knee_0p8mps_ra_exo_on,AB07_Amy::RA_0p8mps,AB07_Amy,RA,RA_0p8mps,0.19023376423125296,0.021340264637962347,0.18571337134122964,0.06729809110208818,-0.23804018700001328
ab07_amy_knee_0p8mps_rd_exo_on,AB07_Amy::RD_0p8mps,AB07_Amy,RD,RD_0p8mps,0.26815464040491177,0.25105566007696367,0.23476206557025286,0.42596978416695386,-0.23408106000022966
ab08_seokhyun_knee_0p8mps_ra_exo_on,AB08_Seokhyun::RA_0p8mps,AB08_Seokhyun,RA,RA_0p8mps,0.2012358175791885,0.3693475294783093,0.22642915088041515,0.20155645860906524,-0.23507406799959418
ab08_seokhyun_knee_0p8mps_rd_exo_on,AB08_Seokhyun::RD_0p8mps,AB08_Seokhyun,RD,RD_0p8mps,0.2346611065795348,0.109278663713688,0.2633808274841673,-0.12209064712592821,-0.2380521410000147
