trial,r2_deploy,r2_butter_zp,r2_cascade_zp,r2_cascade_lag5_zp,r2_butter_vs_log,r2_casc_vs_log,r2_casc_lag5_vs_log,rmse_deploy,rmse_butter,rmse_casc,rmse_casc_lag
ab01_jinwoo_hip_0p8mps_lg_exo_on,0.8527097916917608,0.33485056524091983,0.598654715069834,0.4201649409260473,0.4099028366325168,0.7522677561232296,0.5698156316744025,0.0789929019661031,0.1678652276658494,0.13039478218264827,0.15673044479131948
ab01_jinwoo_hip_0p8mps_ra_exo_on,0.8237989208829727,-0.06939079349412158,0.8180283548797673,0.8055933519841952,0.3689252438448204,0.9619701459322367,0.8539414865379539,0.13476830543166612,0.33201041393751235,0.1369573506770842,0.14155950709408374
ab01_jinwoo_hip_1p2mps_lg_exo_on,0.7032035979396652,0.4989798454295442,0.4786746468874753,0.09692916330176304,0.5039669615625549,0.8457424710687511,0.5519417107842979,0.1551034540179758,0.20152074111100957,0.20556377114270843,0.27055344120755404
ab01_jinwoo_hip_1p6mps_lg_exo_on,0.7181169520628228,0.7457837043125558,0.5319541829097385,0.1546611268918564,0.37667696458325095,0.807188662300639,0.4606877427815884,0.2367728589573059,0.22485323065147753,0.3050995892226332,0.4100273808464913
ab02_oscar_hip_0p8mps_lg_exo_on,0.6144237159471433,0.36375975030199126,0.5799284291273721,0.5399944631164588,0.8045022839200853,0.7732087086497922,0.5658947224992747,0.1562371584775771,0.20069647510289124,0.16307628914506286,0.1706517336052202
ab02_oscar_hip_0p8mps_ra_exo_on,0.7987924934372992,0.10419751865426241,0.662385884507702,0.6420311906764357,0.42904657859931494,0.7149141412969978,0.6168024124319547,0.18901301879914362,0.3988189258075518,0.24483862218268918,0.2521112481182834
ab02_oscar_hip_1p2mps_lg_exo_on,0.7249620873373472,0.627275603831408,0.622252564128561,0.4489181710380782,0.7917982990987696,0.752755598905525,0.4190821958207269,0.1959333269714258,0.2280898403088615,0.22962162906807626,0.27734483140051147
ab02_oscar_hip_1p6mps_lg_exo_on,0.8204413651276348,0.7414848188738661,0.6531708543133534,0.4054370245670723,0.6889003443211229,0.8112709678583144,0.5028109951817772,0.20374301226870067,0.24446832741095953,0.2831635630127285,0.37074773456596466
ab03_ilseung_hip_0p8mps_lg_exo_on,0.8582938012149423,0.5621362681726987,0.7931825330874914,0.6846162561808715,0.5127903365882982,0.7416661213945789,0.5856408143889162,0.07925598818265125,0.13931797332551896,0.09574834331577138,0.11823806483406739
ab03_ilseung_hip_0p8mps_ra_exo_on,0.8220528646842999,0.22028411451631857,0.7740696229769732,0.7462486881368665,0.4900333106800774,0.8052286204577441,0.6953117581893802,0.17833342772863625,0.37329781501235043,0.20094378122340362,0.2129567473243581
