trial,subject,condition,corr_hip_flexion_r,corr_knee_angle_r,corr_ankle_angle_r,corr_hip_flexion_l,corr_knee_angle_l,corr_ankle_angle_l,mean_angle_corr
AB01_Jinwoo::LG_0p8mps,AB01_Jinwoo,LG_0p8mps,0.9827577522448683,0.9900477772243547,0.9035799973482889,0.9847384796574664,0.988599146078452,0.8957081873801377,0.9575718899889281
AB01_Jinwoo::LG_1p2mps,AB01_Jinwoo,LG_1p2mps,0.9858726316779122,0.9858612144387541,0.9220670298323468,0.9887593241568361,0.98282595072928,0.8964437570994261,0.9603049846557593
AB01_Jinwoo::LG_1p6mps,AB01_Jinwoo,LG_1p6mps,0.9884151735964838,0.9822227819350192,0.9227502921601295,0.9902009150718051,0.9766223753769074,0.8967026384470338,0.9594856960978966
AB01_Jinwoo::RA_0p8mps,AB01_Jinwoo,RA_0p8mps,0.9915874166817438,0.9982844670880177,0.9910908779762463,0.9884946485960974,0.9979509467986168,0.9788932806857419,0.9910502729710773
AB01_Jinwoo::RD_0p8mps,AB01_Jinwoo,RD_0p8mps,0.9629866377423807,0.9944318401209209,0.9253107080856371,0.9740862096311105,0.991273057784891,0.7411899450925123,0.9315463997429086
AB02_Oscar::LG_0p8mps,AB02_Oscar,LG_0p8mps,0.9797021942734266,0.9930885082241376,0.8626190651469622,0.979257064546497,0.9957325888250275,0.9180291924228696,0.95473810223982
AB02_Oscar::LG_1p2mps,AB02_Oscar,LG_1p2mps,0.9823994941544366,0.9943114980990738,0.8817632462302267,0.9813262013353604,0.9930920975290249,0.9400078276935669,0.9621500608402815
AB02_Oscar::LG_1p6mps,AB02_Oscar,LG_1p6mps,0.9891643714747126,0.9908604646327909,0.8993510660691345,0.990133148219176,0.9887246508860541,0.9545038270153722,0.96878958804954
AB02_Oscar::RA_0p8mps,AB02_Oscar,RA_0p8mps,0.9899338337540048,0.99817754572865,0.9652249755457316,0.989709729909782,0.9978168722518003,0.9702366579868731,0.9851832691961402
AB02_Oscar::RD_0p8mps,AB02_Oscar,RD_0p8mps,0.9811444068363976,0.9967992701920345,0.7098661670024661,0.9613792657304379,0.9967039877366368,0.8494316476696004,0.9158874575279289
