trial,subject,condition,task,lag_samples,n,rmse_awinda_nmpkg,r2_awinda,rmse_vicon_nmpkg,r2_vicon,rmse_reduction_pct,r2_increase,mean_angle_corr
AB01_Jinwoo::LG_0p8mps,AB01_Jinwoo,LG_0p8mps,LG,711,6500,0.1944926443153401,0.7074225722045203,0.1306871550601234,0.8411331902907229,32.80611947039285,0.13371061808620255,0.9575718899889281
AB01_Jinwoo::LG_1p2mps,AB01_Jinwoo,LG_1p2mps,LG,722,6500,0.18158830011484936,0.8365444669094556,0.14579400543939838,0.8722248318477014,19.71178465397392,0.03568036493824578,0.9603049846557593
AB01_Jinwoo::LG_1p6mps,AB01_Jinwoo,LG_1p6mps,LG,1300,6500,0.18228307170823232,0.9035168846814517,0.1588329725889398,0.9241962785761039,12.864660936166056,0.02067939389465212,0.9594856960978966
AB01_Jinwoo::RA_0p8mps,AB01_Jinwoo,RA_0p8mps,RA,873,6500,0.16656187682562043,0.8560180568174073,0.13462695371261668,0.8999479141335872,19.17300868699838,0.04392985731617993,0.9910502729710773
AB01_Jinwoo::RD_0p8mps,AB01_Jinwoo,RD_0p8mps,RD,746,6500,0.2372378944280976,0.6461464203388779,0.15212753597793513,0.8944550079353485,35.875532724371666,0.24830858759647056,0.9315463997429086
AB02_Oscar::LG_0p8mps,AB02_Oscar,LG_0p8mps,LG,386,6500,0.16704233143127212,0.609727084347061,0.09727792194157446,0.8490136959576481,41.764508967238356,0.23928661161058706,0.95473810223982
AB02_Oscar::LG_1p2mps,AB02_Oscar,LG_1p2mps,LG,360,6500,0.12649137297301685,0.8949223643688526,0.10308418160775558,0.9033672511929645,18.504970588195366,0.008444886824111819,0.9621500608402815
AB02_Oscar::LG_1p6mps,AB02_Oscar,LG_1p6mps,LG,223,6500,0.1379462479578982,0.9421575714379412,0.12048180013780742,0.959304576109595,12.660328264543308,0.017147004671653754,0.96878958804954
AB02_Oscar::RA_0p8mps,AB02_Oscar,RA_0p8mps,RA,297,6500,0.22348105066584925,0.8090003752305132,0.14040460139266062,0.9383839258399428,37.17382257943884,0.12938355060942963,0.9851832691961402
AB02_Oscar::RD_0p8mps,AB02_Oscar,RD_0p8mps,RD,357,6500,0.18140883625536075,0.8085242518529339,0.13281153895426898,0.9139781181299954,26.788825894171783,0.10545386627706155,0.9158874575279289
