trial,task,r2_vicon_moment,rmse_vicon_moment,corr_ang_R,corr_ang_L,corr_ang_R_flip,corr_ang_L_flip,best_lag_R,corr_at_best_lag_R,best_lag_L,rmse_ang_R_deg,rmse_ang_L_deg,bias_R_deg,bias_L_deg,corr_vel_R,corr_vel_L,corr_hip_pos_vs_model_in_R,std_enc_R_deg,std_vik_R_deg
ab01_jinwoo_hip_0p8mps_lg_exo_on,LG,0.4292903413065378,0.1554922478557932,0.9876670058732289,0.9893029378188284,-0.9876670058732289,-0.9893029378188284,1,0.9906439958752579,1,3.348677220110144,6.483908330708099,-1.9058450143168684,-5.783851680822685,0.9546459006081487,0.9679208374118111,1.0,14.717584833115827,13.02892090576752
ab01_jinwoo_hip_0p8mps_ra_exo_on,RA,0.2760129161055542,0.2731799963292446,0.985863733736207,0.9872362536131634,-0.985863733736207,-0.9872362536131634,1,0.9860839107507267,0,10.205015604049853,12.128894736340309,-8.882780379917795,-10.842626592230873,0.966827084208241,0.973745771324854,1.0,22.61077335636736,18.991676139474052
ab01_jinwoo_hip_1p2mps_lg_exo_on,LG,0.6673181379124499,0.1642126899080251,0.9801600960644211,0.9804147939282932,-0.9801600960644211,-0.9804147939282932,1,0.9831799905262569,1,3.951723366414561,6.270047492562164,0.06944354008334992,-3.676730233097709,0.9550763008693994,0.9668736333247999,1.0,17.493586384754266,15.25212414736396
ab01_jinwoo_hip_1p6mps_lg_exo_on,LG,0.706004953590976,0.2418062072911283,0.977758917283494,0.977402784561486,-0.977758917283494,-0.977402784561486,1,0.979446297027277,1,5.745009512973023,8.649464491868905,-2.732527591330346,-6.394557969100159,0.9467343667188945,0.9579477721652218,0.9999999999999999,20.68803628134149,17.63715836699554
ab02_oscar_hip_0p8mps_lg_exo_on,LG,0.3855215380510255,0.1972343292462723,0.9846434137048977,0.9867593024726836,-0.9846434137048977,-0.9867593024726836,0,0.9846434137048977,0,11.91806855880201,12.57945344151088,-11.698724068452565,-12.25608821767308,0.9297194384942509,0.9493862739902786,0.9999999999999999,12.99912047349067,12.625606209942314
ab02_oscar_hip_0p8mps_ra_exo_on,RA,0.6816078854685828,0.2377665632938859,0.9775195447796122,0.9742705409926173,-0.9775195447796122,-0.9742705409926173,-3,0.9857856748933179,-4,17.88055376850879,20.465605921564432,-17.09999379880622,-19.231888719090627,0.9722558890408801,0.9704596678624072,1.0,23.670028533909868,21.5895942190135
ab02_oscar_hip_1p2mps_lg_exo_on,LG,0.7585194050573205,0.1835917450328646,0.9743097707332127,0.9799702587368432,-0.9743097707332127,-0.9799702587368432,1,0.978069334532675,1,12.977465747622487,14.276631150160302,-12.446359734372107,-13.542127791683882,0.9332039212163717,0.9531497888508306,1.0,16.084227133494938,15.053572479847007
ab02_oscar_hip_1p6mps_lg_exo_on,LG,0.7837900506063198,0.2235720004998032,0.975265396414482,0.9770978604140177,-0.975265396414482,-0.9770978604140177,1,0.9753267362627432,0,14.541437591770807,16.157073473778155,-13.721208992479342,-15.123857212281077,0.9565307214463245,0.955387446438431,1.0,20.237322505735005,17.955660087524937
ab03_ilseung_hip_0p8mps_lg_exo_on,LG,-0.2699844130186524,0.2372667362932436,0.9793208820521928,0.9624609158239945,-0.9793208820521928,-0.9624609158239945,0,0.9793208820521928,-3,7.152975939004394,7.825928467853032,6.579050918183828,6.558629869682384,0.8981235457383474,0.8969646859432808,0.9999999999999999,13.68704634890706,13.865971609300322
ab03_ilseung_hip_0p8mps_ra_exo_on,RA,0.3725781216075651,0.3348629401062843,0.9711731523160791,0.9739114981153304,-0.9711731523160791,-0.9739114981153304,-3,0.9815198439890228,-4,7.148438407152851,6.4164002586066005,-3.752449971370408,-2.3024070663879495,0.9592549358194091,0.9663579841702369,0.9999999999999999,24.83138406619667,22.707545347578456
ab03_ilseung_hip_1p2mps_lg_exo_on,LG,0.4679958662356628,0.2491175618202803,0.967150914446589,0.9661778125347767,-0.967150914446589,-0.9661778125347767,-1,0.9677595638541796,-2,6.022010675728785,6.109971318067648,3.6648879107039094,3.424528264401668,0.9432075860166008,0.9474574911090322,1.0,18.599240337776017,17.295879058339874
ab03_ilseung_hip_1p6mps_lg_exo_on,LG,0.6238815237441948,0.2752726855447039,0.9616401562607014,0.9626985010923165,-0.9616401562607014,-0.9626985010923165,-1,0.9624909107756585,-1,6.593515922773373,6.251637701839836,1.496781264918426,1.8545377230432052,0.9439688192887583,0.9459086450890289,1.0,22.34794519675463,19.57944228909237
ab04_changseob_hip_0p8mps_lg_exo_on,LG,0.505460830332874,0.1795402483235526,0.9783705759217798,0.9871215508825381,-0.9783705759217798,-0.9871215508825381,-1,0.9811268876357404,-1,6.265710574483637,8.58981324003147,-4.876861231394896,-7.843699684927279,0.953160469161798,0.9564762836117315,1.0,14.44217152573765,11.570467456577541
ab04_changseob_hip_0p8mps_ra_exo_on,RA,0.7879229045865503,0.2112104249574282,0.9726184830859922,0.9879144769961935,-0.9726184830859922,-0.9879144769961935,-4,0.9898351563123747,-2,19.926367457041266,22.90958172156003,-18.67539718665165,-22.124197041228857,0.9811317184930659,0.9827256877840609,0.9999999999999999,22.39386277234492,17.176034778467777
ab04_changseob_hip_1p2mps_lg_exo_on,LG,0.696090928920712,0.2094845482096028,0.9794258923768495,0.985893100423366,-0.9794258923768495,-0.985893100423366,-1,0.9796229407121451,0,9.395192763195084,10.287603128408255,-7.990280797909953,-9.250999100781874,0.9500663787592608,0.9564510109236051,0.9999999999999998,17.542928247480827,13.733550838543072
ab04_changseob_hip_1p6mps_lg_exo_on,LG,0.7348958137949003,0.2656924960326844,0.9847404560653595,0.9859818835868707,-0.9847404560653595,-0.9859818835868707,0,0.9847404560653595,0,15.089183030844339,14.758320465136206,-14.156109145852211,-13.860371012778977,0.9624771023139638,0.9654704653584015,1.0,19.733938026398754,15.496603200376565
ab05_maria_hip_0p8mps_lg_exo_on,LG,0.1848893279281029,0.2612364543022515,0.9728703825953603,0.9785450681829518,-0.9728703825953603,-0.9785450681829518,0,0.9728703825953603,1,15.19775904876463,14.8025442094819,-14.734994419935902,-14.418418493860589,0.9256497677870527,0.9440623418455206,0.9999999999999998,15.803342471229577,16.07075712977984
ab05_maria_hip_0p8mps_ra_exo_on,RA,0.6090694127259733,0.2506600199713942,0.9821145956168631,0.9783947988537458,-0.9821145956168631,-0.9783947988537458,-1,0.9830277962256454,-2,19.71048791590791,18.176618939833194,-18.99650061170234,-17.179589175639368,0.9434140576472965,0.9657327418593358,1.0,23.940817851122883,20.807603417913597
ab05_maria_hip_1p2mps_lg_exo_on,LG,0.3525560919359589,0.3000084670169681,0.9676236039095184,0.9707353727960178,-0.9676236039095184,-0.9707353727960178,1,0.968725594559033,0,10.023348515934153,11.035314291536702,-8.852302145447881,-9.896640290754217,0.9201094522544735,0.9347643176199136,1.0,18.61916248678955,18.156331752234088
ab06_jimin_hip_0p8mps_lg_exo_on,LG,0.4193925938144331,0.2169438867232465,0.9723707197822797,0.9721199442351335,-0.9723707197822797,-0.9721199442351335,0,0.9723707197822797,-1,8.5386299304323,8.257747043492552,-7.631858064713714,-6.96257302557395,0.9202112397789808,0.923236723215465,1.0,15.622964189464753,14.024298725195452
ab06_jimin_hip_0p8mps_ra_exo_on,RA,0.7041152184391217,0.2523908121840474,0.9794335508082102,0.9791889403510423,-0.9794335508082102,-0.9791889403510423,-3,0.9874804767588957,-3,13.07674091405232,12.91335571729816,-11.374254705940901,-11.261090087839044,0.9736132111448424,0.9733295591313996,1.0,25.56655026303651,21.165494496967582
ab06_jimin_hip_1p2mps_lg_exo_on,LG,0.5420847351327249,0.2816920600929262,0.9710026504683236,0.9740848506099679,-0.9710026504683236,-0.9740848506099679,0,0.9710026504683236,0,5.258272633101356,5.71392340634809,0.4093704046552652,2.2241799282065258,0.9293233957229424,0.9289267790492595,1.0,19.24741629744107,16.177628002050408
ab06_jimin_hip_1p6mps_lg_exo_on,LG,0.7309975750691995,0.2908342763443436,0.9704749795684531,0.9715047668776761,-0.9704749795684531,-0.9715047668776761,-1,0.970500911512903,0,6.655227563793548,7.383793338643159,-3.012021104092489,-3.3207041115826756,0.9490533736026456,0.9447243048555642,1.0,22.076329749584264,18.80426852785215
ab07_amy_hip_0p8mps_lg_exo_on,LG,0.4859898382485857,0.2092646337869525,0.981404677917002,0.9811461970245887,-0.981404677917002,-0.9811461970245887,0,0.981404677917002,0,4.83166247273086,3.719367963477988,2.0641755347252655,-1.5492647573429827,0.955100955046128,0.9581524194263337,1.0,17.539303778953197,14.429333318642222
ab07_amy_hip_0p8mps_ra_exo_on,RA,0.6944916864052002,0.2347192855399626,0.9916148375264345,0.9888089487099462,-0.9916148375264345,-0.9888089487099462,0,0.9916148375264345,-1,15.172893018933246,18.991144193038195,-13.72869066696194,-17.91023586308715,0.9717736461686065,0.9752390283481737,1.0,24.295071224742003,18.4448901628274
ab07_amy_hip_1p2mps_lg_exo_on,LG,0.7461465623559524,0.2193664075781097,0.9778208214612281,0.9760377680061059,-0.9778208214612281,-0.9760377680061059,0,0.9778208214612281,1,6.275619709097346,6.867183903364028,-2.264029851094297,-5.0622322883838855,0.950822062861936,0.952018518545067,1.0,21.18858875085187,16.90243351994486
ab07_amy_hip_1p6mps_lg_exo_on,LG,0.7358782800333933,0.3229021011840007,0.9792107736867013,0.9823648391760577,-0.9792107736867013,-0.9823648391760577,2,0.9846201597860483,1,6.257746676369538,5.171166483115285,-0.2922321686326254,-2.4143839494539643,0.9554315698268652,0.9633222596387294,1.0,22.653210445794606,17.944455574464566
ab08_seokhyun_hip_0p8mps_lg_exo_on,LG,0.3884871433908621,0.2009303270238803,0.9842002266931204,0.9783884771038202,-0.9842002266931204,-0.9783884771038202,0,0.9842002266931204,-2,2.822574362255829,3.252042523537608,0.47577341501242454,0.9702470217809015,0.9413596092524404,0.951350321980749,1.0,14.579561285298508,13.311558772312297
ab08_seokhyun_hip_0p8mps_ra_exo_on,RA,0.3156749911644905,0.3093810768524245,0.9648160207388062,0.9645367353051605,-0.9648160207388062,-0.9645367353051605,-4,0.9770162056260504,-4,9.761767510452211,8.836704371611892,-6.700823124092403,-6.488348933551629,0.9539350705360206,0.9601937965307872,1.0,22.96652652767782,18.426496371839566
ab08_seokhyun_hip_1p2mps_lg_exo_on,LG,0.661583834155206,0.209493118508306,0.9821737153972615,0.9845927165294149,-0.9821737153972615,-0.9845927165294149,1,0.9852996444115839,-1,4.134155445460083,3.681836641937522,1.5541132653243568,0.9165741174689169,0.935515573135141,0.952465408460725,1.0,17.31314723920012,14.983492824180018
ab08_seokhyun_hip_1p6mps_lg_exo_on,LG,0.6730298235808523,0.2698300637200151,0.976394743829995,0.9856016315304598,-0.976394743829995,-0.9856016315304598,1,0.9768413888610317,0,5.730974802074399,4.532074104650372,-1.5631014776493355,-2.027506259655303,0.9285498475368841,0.9578107398531467,1.0,20.91053887049962,17.254409766934288
