trial,subject,task,condition,gpio_offset_s,pred_id_xcorr_lag_samples,pred_id_xcorr_score,applied_key,rmse_vs_id_nmpkg,r2_vs_id,rmse_vs_id_plus_applied,r2_vs_id_plus_applied
ab01_jinwoo_hip_0p8mps_lg_exo_on,AB01_Jinwoo,LG,LG_0p8mps,-0.2330531560000808,-1,0.9112565401062328,applied_R,0.09844564883568509,0.7575116869186025,0.10596316128815567,0.7357176849595142
ab01_jinwoo_hip_0p8mps_ra_exo_on,AB01_Jinwoo,RA,RA_0p8mps,-0.23604046500002918,7,0.9379861813594373,applied_R,0.194472458625916,0.5886817764263166,0.181255239402724,0.6815548718346497
ab01_jinwoo_hip_1p2mps_lg_exo_on,AB01_Jinwoo,LG,LG_1p2mps,-0.23506546399997652,-1,0.9138444199478174,applied_R,0.13067466095521274,0.7906595940834742,0.13557081777997143,0.7732811596156526
ab01_jinwoo_hip_1p6mps_lg_exo_on,AB01_Jinwoo,LG,LG_1p6mps,-0.23905612700003886,1,0.936654118828672,applied_R,0.1847879994496695,0.8347083968289108,0.1823438976944812,0.8329268780539305
ab02_oscar_hip_0p8mps_lg_exo_on,AB02_Oscar,LG,LG_0p8mps,-0.23003840200000925,7,0.9138907182477044,applied_R,0.11171682524413144,0.7791270217046832,0.10485293242242161,0.8264369599579239
ab02_oscar_hip_0p8mps_ra_exo_on,AB02_Oscar,RA,RA_0p8mps,-0.23604987100002384,7,0.9371388144962394,applied_R,0.15565817552840971,0.8379211489874916,0.17065048808112013,0.8360833676737736
ab02_oscar_hip_1p2mps_lg_exo_on,AB02_Oscar,LG,LG_1p2mps,-0.2320591249999866,2,0.9240023291678641,applied_R,0.1465071010443792,0.8396734009938371,0.14709673334800116,0.8451353647907834
ab02_oscar_hip_1p6mps_lg_exo_on,AB02_Oscar,LG,LG_1p6mps,-0.23206250199998024,-1,0.9821976133788529,applied_R,0.1398843153511779,0.9150839223513186,0.1393118024972273,0.9160543981287895
ab03_ilseung_hip_0p8mps_lg_exo_on,AB03_Ilseung,LG,LG_0p8mps,-0.2210601969999706,6,0.8769066986932604,applied_R,0.1045196582936015,0.7259514060198983,0.11458018707924594,0.7017816902547906
ab03_ilseung_hip_0p8mps_ra_exo_on,AB03_Ilseung,RA,RA_0p8mps,-0.23304922899999192,9,0.9503676492233541,applied_R,0.139208693817486,0.8734583886740401,0.16267576359687366,0.8529904061360396
ab03_ilseung_hip_1p2mps_lg_exo_on,AB03_Ilseung,LG,LG_1p2mps,-0.23404127300000166,5,0.9835795246307344,applied_R,0.09069021086685353,0.9262147337968247,0.10068951691707421,0.9130342975050421
ab03_ilseung_hip_1p6mps_lg_exo_on,AB03_Ilseung,LG,LG_1p6mps,-0.19705418400000063,4,0.9850329552412597,applied_R,0.123257107986527,0.9249229936525546,0.12849107109021132,0.9185455230252417
ab04_changseob_hip_0p8mps_lg_exo_on,AB04_Changseob,LG,LG_0p8mps,-0.23103956499998812,5,0.8921017948758211,applied_R,0.11855814421966643,0.7580425251995297,0.12081116805296253,0.7753722254050084
ab04_changseob_hip_0p8mps_ra_exo_on,AB04_Changseob,RA,RA_0p8mps,-0.1370676320001185,3,0.9608578846231227,applied_R,0.15572438989725926,0.8703909094165216,0.156026132445395,0.8841957172511367
ab04_changseob_hip_1p2mps_lg_exo_on,AB04_Changseob,LG,LG_1p2mps,-0.23003775100008172,-1,0.9589496753946314,applied_R,0.12808907998824925,0.883785220257775,0.1369931586944434,0.8700736172227124
ab04_changseob_hip_1p6mps_lg_exo_on,AB04_Changseob,LG,LG_1p6mps,-0.23206445499996065,-3,0.9492801537302944,applied_R,0.23497128142705784,0.7947418431129074,0.23354291047025508,0.7957081056913937
ab05_maria_hip_0p8mps_lg_exo_on,AB05_Maria,LG,LG_0p8mps,-0.22906030199998795,-121,0.9224884339488021,applied_R,0.15109863253448735,0.6886344902028423,0.1413079230528255,0.7626058309975117
ab05_maria_hip_0p8mps_ra_exo_on,AB05_Maria,RA,RA_0p8mps,-0.12605654900001007,9,0.9598411927881451,applied_R,0.13429894579658447,0.871615429701061,0.13229287213178106,0.890923600603157
ab05_maria_hip_1p2mps_lg_exo_on,AB05_Maria,LG,LG_1p2mps,-0.23603926199990477,4,0.9511461786001946,applied_R,0.14551712083853932,0.8389384506223947,0.1449659610813696,0.8487505731501761
ab06_jimin_hip_0p8mps_lg_exo_on,AB06_Jimin,LG,LG_0p8mps,-0.23805788499996927,7,0.9260711046491641,applied_R,0.14649300786952096,0.7064995432768261,0.14136992247556418,0.7538406927177023
ab06_jimin_hip_0p8mps_ra_exo_on,AB06_Jimin,RA,RA_0p8mps,-0.24005893300002756,5,0.9736510051177356,applied_R,0.13847085929230388,0.9012652236132555,0.13840856776277957,0.9105900990810472
ab06_jimin_hip_1p2mps_lg_exo_on,AB06_Jimin,LG,LG_1p2mps,-0.22704151699992225,4,0.9502789442987165,applied_R,0.15451689675079086,0.8623464868576373,0.1550838342965629,0.8611292568195186
ab06_jimin_hip_1p6mps_lg_exo_on,AB06_Jimin,LG,LG_1p6mps,-0.23505527399985104,2,0.9773028803306361,applied_R,0.19403479329734477,0.8832252723150643,0.17959802845774445,0.8975919914199038
ab07_amy_hip_0p8mps_lg_exo_on,AB07_Amy,LG,LG_0p8mps,-0.21606097800000135,4,0.9045227898179209,applied_R,0.1288559025899898,0.7903510898918801,0.13626953019786386,0.7823739278929913
ab07_amy_hip_0p8mps_ra_exo_on,AB07_Amy,RA,RA_0p8mps,-0.2320614149999365,4,0.9592046312070585,applied_R,0.14164803080897237,0.8828896263249854,0.13553850108769067,0.8982300229716053
ab07_amy_hip_1p2mps_lg_exo_on,AB07_Amy,LG,LG_1p2mps,-0.23105888499986205,0,0.93400815313685,applied_R,0.1720096368790231,0.8469613193324583,0.1750170598686003,0.8385034689653845
ab07_amy_hip_1p6mps_lg_exo_on,AB07_Amy,LG,LG_1p6mps,-0.24103159300016697,0,0.9493471744194921,applied_R,0.29100352766075904,0.7992420568346459,0.27765298423295354,0.8057039492252625
ab08_seokhyun_hip_0p8mps_lg_exo_on,AB08_Seokhyun,LG,LG_0p8mps,-0.23606474800015897,3,0.8814490641495648,applied_R,0.12176023591302831,0.7584351659187465,0.12709949790072794,0.757413197639542
ab08_seokhyun_hip_0p8mps_ra_exo_on,AB08_Seokhyun,RA,RA_0p8mps,-0.19306136899995918,7,0.9144344782767401,applied_R,0.15712766550799467,0.7790582261757029,0.17001916324688499,0.7921639628367854
ab08_seokhyun_hip_1p2mps_lg_exo_on,AB08_Seokhyun,LG,LG_1p2mps,-0.2370478969998675,1,0.9297606967729521,applied_R,0.16637722094829235,0.7835880604697014,0.16670629827000025,0.7851645257746827
ab08_seokhyun_hip_1p6mps_lg_exo_on,AB08_Seokhyun,LG,LG_1p6mps,-0.2350533220000306,2,0.9461748720563873,applied_R,0.1908320966039476,0.8380527246803947,0.1887947736821753,0.8393150137139364
