trial,channel,rmse_nmpkg,r2_nmpkg
AB01_Jinwoo::LG_0p8mps,hip_flexion_r,0.0903640765,0.8390844923
AB01_Jinwoo::LG_0p8mps,knee_angle_r,0.10544634700000001,0.7151911559
AB01_Jinwoo::LG_0p8mps,ankle_angle_r,0.2162328772,0.9245650282000001
AB01_Jinwoo::LG_0p8mps,hip_flexion_l,0.07512384300000001,0.9011408127
AB01_Jinwoo::LG_0p8mps,knee_angle_l,0.2995795274,0.0947597845
AB01_Jinwoo::LG_0p8mps,ankle_angle_l,0.3802091953,0.7697941598
AB01_Jinwoo::RA_0p8mps,hip_flexion_r,0.1157467123,0.8770949543000001
AB01_Jinwoo::RA_0p8mps,knee_angle_r,0.11855300760000001,0.8858115132000001
AB01_Jinwoo::RA_0p8mps,ankle_angle_r,0.11119955720000001,0.9741095212
AB01_Jinwoo::RA_0p8mps,hip_flexion_l,0.1012132347,0.9149566237000001
AB01_Jinwoo::RA_0p8mps,knee_angle_l,0.2179303205,0.6233742703
AB01_Jinwoo::RA_0p8mps,ankle_angle_l,0.3347284285,0.8607614593
AB01_Jinwoo::RD_0p8mps,hip_flexion_r,0.1380853387,0.7023771310000001
AB01_Jinwoo::RD_0p8mps,knee_angle_r,0.2630087671,0.4805337062
AB01_Jinwoo::RD_0p8mps,ankle_angle_r,0.1967432042,0.8480175094
AB01_Jinwoo::RD_0p8mps,hip_flexion_l,0.08494992550000001,0.8332496846
AB01_Jinwoo::RD_0p8mps,knee_angle_l,0.5056710063000001,0.1798345352
AB01_Jinwoo::RD_0p8mps,ankle_angle_l,0.2349691254,0.8328659555
AB01_Jinwoo::LG_1p2mps,hip_flexion_r,0.1348406833,0.8648622723
AB01_Jinwoo::LG_1p2mps,knee_angle_r,0.0863353798,0.9004591497000001
AB01_Jinwoo::LG_1p2mps,ankle_angle_r,0.2020039744,0.9637516066
AB01_Jinwoo::LG_1p2mps,hip_flexion_l,0.08165231810000001,0.9390144748
AB01_Jinwoo::LG_1p2mps,knee_angle_l,0.30472032520000003,0.4781701271
AB01_Jinwoo::LG_1p2mps,ankle_angle_l,0.27997712,0.8730091709000001
AB01_Jinwoo::LG_1p6mps,hip_flexion_r,0.1600618355,0.9089818894
AB01_Jinwoo::LG_1p6mps,knee_angle_r,0.0835691038,0.9480875229
AB01_Jinwoo::LG_1p6mps,ankle_angle_r,0.2069750658,0.9519090468
AB01_Jinwoo::LG_1p6mps,hip_flexion_l,0.11297182380000001,0.9522037985
AB01_Jinwoo::LG_1p6mps,knee_angle_l,0.2843222556,0.7545659315000001
AB01_Jinwoo::LG_1p6mps,ankle_angle_l,0.2457983457,0.9053531197
