trial,condition,channel,rmse_deg,r2
AB01_Jinwoo::LG_0p8mps,LG_0p8mps,hip_flexion_r,5.488001008422708,0.9658135181997453
AB01_Jinwoo::LG_0p8mps,LG_0p8mps,knee_angle_r,16.26222550963785,0.9801948439082693
AB01_Jinwoo::LG_0p8mps,LG_0p8mps,ankle_angle_r,13.63262311690046,0.8164563341283664
AB01_Jinwoo::LG_0p8mps,LG_0p8mps,hip_flexion_l,4.6952586903251285,0.9697150771964677
AB01_Jinwoo::LG_0p8mps,LG_0p8mps,knee_angle_l,25.086040363373037,0.9773276066388417
AB01_Jinwoo::LG_0p8mps,LG_0p8mps,ankle_angle_l,11.299969588076253,0.8022880236534755
AB01_Jinwoo::LG_1p2mps,LG_1p2mps,hip_flexion_r,4.8327851645759505,0.9719454751173894
AB01_Jinwoo::LG_1p2mps,LG_1p2mps,knee_angle_r,16.813348568748456,0.9719228623885038
AB01_Jinwoo::LG_1p2mps,LG_1p2mps,ankle_angle_r,14.660775850459434,0.850206811711987
AB01_Jinwoo::LG_1p2mps,LG_1p2mps,hip_flexion_l,4.694406308454786,0.9776525665136606
AB01_Jinwoo::LG_1p2mps,LG_1p2mps,knee_angle_l,25.364488860167917,0.9659443452836619
AB01_Jinwoo::LG_1p2mps,LG_1p2mps,ankle_angle_l,11.701232767146394,0.8036113068803008
AB01_Jinwoo::LG_1p6mps,LG_1p6mps,hip_flexion_r,4.378067328404623,0.9769651342742641
AB01_Jinwoo::LG_1p6mps,LG_1p6mps,knee_angle_r,16.297536497621675,0.9647553484145385
AB01_Jinwoo::LG_1p6mps,LG_1p6mps,ankle_angle_r,14.828962066037587,0.8514671050169506
AB01_Jinwoo::LG_1p6mps,LG_1p6mps,hip_flexion_l,3.856714954163424,0.9804979728279688
AB01_Jinwoo::LG_1p6mps,LG_1p6mps,knee_angle_l,24.679716615966072,0.9537903270110448
AB01_Jinwoo::LG_1p6mps,LG_1p6mps,ankle_angle_l,11.780206102730173,0.8040727671624152
AB01_Jinwoo::RA_0p8mps,RA_0p8mps,hip_flexion_r,2.6010344782837196,0.9832453707817537
AB01_Jinwoo::RA_0p8mps,RA_0p8mps,knee_angle_r,15.14713478106417,0.9965716540819322
AB01_Jinwoo::RA_0p8mps,RA_0p8mps,ankle_angle_r,12.97678837921346,0.9822609944159983
AB01_Jinwoo::RA_0p8mps,RA_0p8mps,hip_flexion_l,3.604262553417774,0.97712271323339
AB01_Jinwoo::RA_0p8mps,RA_0p8mps,knee_angle_l,24.776867983310144,0.9959108857683997
AB01_Jinwoo::RA_0p8mps,RA_0p8mps,ankle_angle_l,10.97735464309093,0.9582187872600938
AB01_Jinwoo::RD_0p8mps,RD_0p8mps,hip_flexion_r,4.578817301002848,0.9273389420665558
AB01_Jinwoo::RD_0p8mps,RD_0p8mps,knee_angle_r,17.100921225124743,0.9888937436668653
AB01_Jinwoo::RD_0p8mps,RD_0p8mps,ankle_angle_r,16.048259519353753,0.8561988075981078
AB01_Jinwoo::RD_0p8mps,RD_0p8mps,hip_flexion_l,3.338902848931237,0.948846844835811
AB01_Jinwoo::RD_0p8mps,RD_0p8mps,knee_angle_l,24.352608922955095,0.9826223779889709
AB01_Jinwoo::RD_0p8mps,RD_0p8mps,ankle_angle_l,14.543266713517458,0.5493617564376495
