trial,condition,channel,rmse_deg,r2
AB03_Ilseung::LG_0p8mps,LG_0p8mps,hip_flexion_r,6.085714544024893,0.9844152493196129
AB03_Ilseung::LG_0p8mps,LG_0p8mps,knee_angle_r,4.189075849805632,0.9800967505487612
AB03_Ilseung::LG_0p8mps,LG_0p8mps,ankle_angle_r,6.202858778006349,0.8554868082403471
AB03_Ilseung::LG_0p8mps,LG_0p8mps,hip_flexion_l,7.882839430399217,0.9826136318209713
AB03_Ilseung::LG_0p8mps,LG_0p8mps,knee_angle_l,4.502640165996949,0.9786196941357718
AB03_Ilseung::LG_0p8mps,LG_0p8mps,ankle_angle_l,8.592324537127615,0.7323951713415843
AB03_Ilseung::LG_1p2mps,LG_1p2mps,hip_flexion_r,6.897126169981364,0.9860663989833985
AB03_Ilseung::LG_1p2mps,LG_1p2mps,knee_angle_r,4.317241627465164,0.976966949593884
AB03_Ilseung::LG_1p2mps,LG_1p2mps,ankle_angle_r,7.387347502951705,0.8468068138097006
AB03_Ilseung::LG_1p2mps,LG_1p2mps,hip_flexion_l,8.426448781222087,0.9826432915092657
AB03_Ilseung::LG_1p2mps,LG_1p2mps,knee_angle_l,4.502014946515036,0.968311405670214
AB03_Ilseung::LG_1p2mps,LG_1p2mps,ankle_angle_l,9.445687442562754,0.7572063970937248
AB03_Ilseung::LG_1p6mps,LG_1p6mps,hip_flexion_r,6.8395649541664145,0.9868054174003303
AB03_Ilseung::LG_1p6mps,LG_1p6mps,knee_angle_r,4.183617210337787,0.9751667378124949
AB03_Ilseung::LG_1p6mps,LG_1p6mps,ankle_angle_r,7.193723623843847,0.8521634737150743
AB03_Ilseung::LG_1p6mps,LG_1p6mps,hip_flexion_l,8.042168547134585,0.987348577213388
AB03_Ilseung::LG_1p6mps,LG_1p6mps,knee_angle_l,5.000991934736689,0.9638253927676507
AB03_Ilseung::LG_1p6mps,LG_1p6mps,ankle_angle_l,9.953352412881403,0.7166387060530964
AB03_Ilseung::RA_0p8mps,RA_0p8mps,hip_flexion_r,10.609718803289086,0.9922975794176819
AB03_Ilseung::RA_0p8mps,RA_0p8mps,knee_angle_r,1.9133773839118375,0.9931495573760424
AB03_Ilseung::RA_0p8mps,RA_0p8mps,ankle_angle_r,5.0735309136892885,0.9627750069618886
AB03_Ilseung::RA_0p8mps,RA_0p8mps,hip_flexion_l,12.160927792672247,0.9926953086184752
AB03_Ilseung::RA_0p8mps,RA_0p8mps,knee_angle_l,2.526554322824361,0.9843935075023686
AB03_Ilseung::RA_0p8mps,RA_0p8mps,ankle_angle_l,6.141279601392122,0.8977091219755675
AB03_Ilseung::RD_0p8mps,RD_0p8mps,hip_flexion_r,5.325394664896174,0.8303293048103044
AB03_Ilseung::RD_0p8mps,RD_0p8mps,knee_angle_r,4.310834570211749,0.9863511383840431
AB03_Ilseung::RD_0p8mps,RD_0p8mps,ankle_angle_r,5.973336752306297,0.8377217012702275
AB03_Ilseung::RD_0p8mps,RD_0p8mps,hip_flexion_l,7.609821605449571,0.8766829334303894
AB03_Ilseung::RD_0p8mps,RD_0p8mps,knee_angle_l,3.3711699516586546,0.9858214100894681
AB03_Ilseung::RD_0p8mps,RD_0p8mps,ankle_angle_l,8.915287158802599,0.7483564315208828
