trial,channel,rmse_nmpkg,r2_nmpkg
AB04_Changseob::LG_0p8mps,hip_flexion_r,0.0916696756,0.8340291623
AB04_Changseob::LG_0p8mps,knee_angle_r,0.1112662339,0.7583282130000001
AB04_Changseob::LG_0p8mps,ankle_angle_r,0.1113596479,0.9443172357
AB04_Changseob::LG_0p8mps,hip_flexion_l,0.1400115686,0.7974545256000001
AB04_Changseob::LG_0p8mps,knee_angle_l,0.14014410500000002,0.6463795789
AB04_Changseob::LG_0p8mps,ankle_angle_l,0.1808059371,0.8772437071
AB04_Changseob::RA_0p8mps,hip_flexion_r,0.2094656255,0.8749869257
AB04_Changseob::RA_0p8mps,knee_angle_r,0.1786795856,0.8050517571
AB04_Changseob::RA_0p8mps,ankle_angle_r,0.2026281268,0.8728457062
AB04_Changseob::RA_0p8mps,hip_flexion_l,0.1817487503,0.8495218081
AB04_Changseob::RA_0p8mps,knee_angle_l,0.10951569800000001,0.9001870676
AB04_Changseob::RA_0p8mps,ankle_angle_l,0.1460771653,0.8973608776
AB04_Changseob::RD_0p8mps,hip_flexion_r,0.11605589250000001,0.7392886797
AB04_Changseob::RD_0p8mps,knee_angle_r,0.1690105079,0.9099995776
AB04_Changseob::RD_0p8mps,ankle_angle_r,0.1516766017,0.8944398504000001
AB04_Changseob::RD_0p8mps,hip_flexion_l,0.1611535978,0.5452436492
AB04_Changseob::RD_0p8mps,knee_angle_l,0.1857593917,0.8818506248
AB04_Changseob::RD_0p8mps,ankle_angle_l,0.1730934966,0.8821510166000001
AB04_Changseob::LG_1p2mps,hip_flexion_r,0.11667122240000001,0.9078459306000001
AB04_Changseob::LG_1p2mps,knee_angle_r,0.0564371851,0.9605180054
AB04_Changseob::LG_1p2mps,ankle_angle_r,0.08639866800000001,0.9745508398
AB04_Changseob::LG_1p2mps,hip_flexion_l,0.16035250480000002,0.9084707154
AB04_Changseob::LG_1p2mps,knee_angle_l,0.07560981630000001,0.9216458834000001
AB04_Changseob::LG_1p2mps,ankle_angle_l,0.10469003980000001,0.9604324992000001
AB04_Changseob::LG_1p6mps,hip_flexion_r,0.1506181485,0.943134503
AB04_Changseob::LG_1p6mps,knee_angle_r,0.0665785795,0.970097877
AB04_Changseob::LG_1p6mps,ankle_angle_r,0.0949003296,0.9768596368
AB04_Changseob::LG_1p6mps,hip_flexion_l,0.17392431460000002,0.9434593317000001
AB04_Changseob::LG_1p6mps,knee_angle_l,0.0667892097,0.9689858648
AB04_Changseob::LG_1p6mps,ankle_angle_l,0.1104156211,0.9823479859
