trial,channel,rmse_nmpkg,r2_nmpkg
AB08_Seokhyun::LG_0p8mps,hip_flexion_r,0.08427442560000001,0.8569981092000001
AB08_Seokhyun::LG_0p8mps,knee_angle_r,0.0703375073,0.6801468019
AB08_Seokhyun::LG_0p8mps,ankle_angle_r,0.1675712865,0.9532762894000001
AB08_Seokhyun::LG_0p8mps,hip_flexion_l,0.0899445059,0.8657612104
AB08_Seokhyun::LG_0p8mps,knee_angle_l,0.06959280670000001,0.8037340758
AB08_Seokhyun::LG_0p8mps,ankle_angle_l,0.15290502790000002,0.9759079561
AB08_Seokhyun::RA_0p8mps,hip_flexion_r,0.2534323724,0.7421851645
AB08_Seokhyun::RA_0p8mps,knee_angle_r,0.1426879663,0.6523483158000001
AB08_Seokhyun::RA_0p8mps,ankle_angle_r,0.27565268260000003,0.796949941
AB08_Seokhyun::RA_0p8mps,hip_flexion_l,0.2603092194,0.7267521089
AB08_Seokhyun::RA_0p8mps,knee_angle_l,0.1089767263,0.7056541891
AB08_Seokhyun::RA_0p8mps,ankle_angle_l,0.23077182710000002,0.8588343335
AB08_Seokhyun::RD_0p8mps,hip_flexion_r,0.1371958604,0.8389978366
AB08_Seokhyun::RD_0p8mps,knee_angle_r,0.1177810463,0.8754011066
AB08_Seokhyun::RD_0p8mps,ankle_angle_r,0.1847536157,0.9293055328000001
AB08_Seokhyun::RD_0p8mps,hip_flexion_l,0.1376448805,0.8780787229
AB08_Seokhyun::RD_0p8mps,knee_angle_l,0.11154008750000001,0.8383177951
AB08_Seokhyun::RD_0p8mps,ankle_angle_l,0.1340822248,0.9430540956000001
AB08_Seokhyun::LG_1p2mps,hip_flexion_r,0.1127996098,0.9022002673
AB08_Seokhyun::LG_1p2mps,knee_angle_r,0.0704399797,0.8170985254
AB08_Seokhyun::LG_1p2mps,ankle_angle_r,0.19320514290000002,0.9448902666000001
AB08_Seokhyun::LG_1p2mps,hip_flexion_l,0.1165220718,0.9001810028
AB08_Seokhyun::LG_1p2mps,knee_angle_l,0.09094959970000001,0.7901188647
AB08_Seokhyun::LG_1p2mps,ankle_angle_l,0.1413051808,0.9844051269
AB08_Seokhyun::LG_1p6mps,hip_flexion_r,0.1267840761,0.9236086628
AB08_Seokhyun::LG_1p6mps,knee_angle_r,0.0846265086,0.9113197150000001
AB08_Seokhyun::LG_1p6mps,ankle_angle_r,0.20830543270000001,0.9807484023
AB08_Seokhyun::LG_1p6mps,hip_flexion_l,0.1356822121,0.9267139188
AB08_Seokhyun::LG_1p6mps,knee_angle_l,0.11303787530000001,0.8216942128
AB08_Seokhyun::LG_1p6mps,ankle_angle_l,0.1919448223,0.9806900380000001
