subject,condition,task,speed_mps,n_samples,mean_rmse_deg,mean_r2_ik
AB01_Jinwoo,LG_0p8mps,LG,0.8,6500,12.744,0.9186
AB01_Jinwoo,LG_1p2mps,LG,1.2,6500,13.0112,0.9235
AB01_Jinwoo,LG_1p6mps,LG,1.6,6500,12.6369,0.9219
AB01_Jinwoo,RA_0p8mps,RA,0.8,6500,11.6806,0.9822
AB01_Jinwoo,RD_0p8mps,RD,0.8,6500,13.3271,0.8755
AB03_Ilseung,LG_0p8mps,LG,0.8,5350,6.2426,0.9189
AB03_Ilseung,LG_1p2mps,LG,1.2,6500,6.8293,0.9197
AB03_Ilseung,LG_1p6mps,LG,1.6,6500,6.8689,0.9137
AB03_Ilseung,RA_0p8mps,RA,0.8,6076,6.4042,0.9705
AB03_Ilseung,RD_0p8mps,RD,0.8,5248,5.9176,0.8775
AB04_Changseob,LG_0p8mps,LG,0.8,6500,5.5103,0.925
AB04_Changseob,LG_1p2mps,LG,1.2,6500,5.6082,0.9272
AB04_Changseob,LG_1p6mps,LG,1.6,6500,5.6992,0.9363
AB04_Changseob,RA_0p8mps,RA,0.8,6500,4.5195,0.9766
AB04_Changseob,RD_0p8mps,RD,0.8,6500,5.8666,0.8572
AB05_Maria,LG_1p2mps,LG,1.2,6500,8.779,0.929
AB05_Maria,LG_1p6mps,LG,1.6,6500,8.345,0.9268
AB05_Maria,RA_0p8mps,RA,0.8,6500,5.6847,0.9642
AB05_Maria,RD_0p8mps,RD,0.8,6500,8.2612,0.915
AB06_Jimin,LG_0p8mps,LG,0.8,6500,5.1719,0.8765
AB06_Jimin,LG_1p2mps,LG,1.2,6500,6.1362,0.9019
AB06_Jimin,LG_1p6mps,LG,1.6,6500,6.321,0.8791
AB06_Jimin,RA_0p8mps,RA,0.8,6500,7.2082,0.9479
AB06_Jimin,RD_0p8mps,RD,0.8,6500,4.5022,0.8127
AB07_Amy,LG_0p8mps,LG,0.8,6500,4.7661,0.9053
AB07_Amy,LG_1p2mps,LG,1.2,6500,5.1378,0.8941
AB07_Amy,LG_1p6mps,LG,1.6,6500,5.4216,0.9125
AB07_Amy,RA_0p8mps,RA,0.8,6500,4.4336,0.961
AB07_Amy,RD_0p8mps,RD,0.8,6500,5.2015,0.8795
AB08_Seokhyun,LG_0p8mps,LG,0.8,6500,5.491,0.9327
AB08_Seokhyun,LG_1p2mps,LG,1.2,6500,5.7628,0.9343
AB08_Seokhyun,LG_1p6mps,LG,1.6,6500,5.8271,0.9303
AB08_Seokhyun,RA_0p8mps,RA,0.8,6500,7.4996,0.9612
AB08_Seokhyun,RD_0p8mps,RD,0.8,6500,5.6115,0.9345
