trial,subject,condition,joint,channel,rmse_full,rmse_single,delta_rmse,r2_full,r2_single,delta_r2
AB01_Jinwoo::LG_0p8mps,AB01_Jinwoo,LG_0p8mps,ankle,ankle_angle_l,0.3802091953,0.27468415500000004,-0.10552504029999998,0.45342574900000004,0.7147201139,0.26129436489999996
AB01_Jinwoo::LG_0p8mps,AB01_Jinwoo,LG_0p8mps,ankle,ankle_angle_r,0.2162328772,0.2179642213,0.001731344100000004,0.81193483,0.8089111542,-0.0030236757999999586
AB01_Jinwoo::LG_1p2mps,AB01_Jinwoo,LG_1p2mps,ankle,ankle_angle_l,0.27997712,0.2877704473,0.007793327299999986,0.7422305845,0.7276805339,-0.01455005060000003
AB01_Jinwoo::LG_1p2mps,AB01_Jinwoo,LG_1p2mps,ankle,ankle_angle_r,0.2020039744,0.2900239157,0.08801994130000002,0.8716228810000001,0.735372228,-0.13625065300000005
AB01_Jinwoo::LG_1p6mps,AB01_Jinwoo,LG_1p6mps,ankle,ankle_angle_l,0.2457983457,0.2619981738,0.016199828100000008,0.8191558399000001,0.7945325145000001,-0.024623325400000007
AB01_Jinwoo::LG_1p6mps,AB01_Jinwoo,LG_1p6mps,ankle,ankle_angle_r,0.2069750658,0.2577960906,0.05082102480000003,0.8891237271,0.8279893986,-0.0611343285
AB01_Jinwoo::RA_0p8mps,AB01_Jinwoo,RA_0p8mps,ankle,ankle_angle_l,0.3347284285,0.355797376,0.02106894749999999,0.5998421514,0.5478821810000001,-0.05195997039999989
AB01_Jinwoo::RA_0p8mps,AB01_Jinwoo,RA_0p8mps,ankle,ankle_angle_r,0.11119955720000001,0.2382600722,0.12706051499999998,0.9587436177,0.8105966897,-0.14814692800000007
AB01_Jinwoo::RD_0p8mps,AB01_Jinwoo,RD_0p8mps,ankle,ankle_angle_l,0.2349691254,0.1256723428,-0.1092967826,0.7433369668,0.9265788564,0.18324188959999999
AB01_Jinwoo::RD_0p8mps,AB01_Jinwoo,RD_0p8mps,ankle,ankle_angle_r,0.1967432042,0.15885664830000001,-0.03788655589999998,0.8161812794000001,0.8801602073,0.06397892789999993
