trial,subject,condition,joint,channel,rmse_full,rmse_single,delta_rmse,r2_full,r2_single,delta_r2
AB01_Jinwoo::LG_0p8mps,AB01_Jinwoo,LG_0p8mps,ankle,ankle_angle_r,0.2162328772,0.2179642213,0.001731344100000004,0.9245650282000001,0.8653388847,-0.059226143500000106
AB01_Jinwoo::LG_1p2mps,AB01_Jinwoo,LG_1p2mps,ankle,ankle_angle_r,0.2020039744,0.2900239157,0.08801994130000002,0.9637516066,0.8500534790000001,-0.11369812759999998
AB01_Jinwoo::LG_1p6mps,AB01_Jinwoo,LG_1p6mps,ankle,ankle_angle_r,0.2069750658,0.2577960906,0.05082102480000003,0.9519090468,0.9305069503000001,-0.021402096499999912
AB01_Jinwoo::RA_0p8mps,AB01_Jinwoo,RA_0p8mps,ankle,ankle_angle_r,0.11119955720000001,0.2382600722,0.12706051499999998,0.9741095212,0.861863739,-0.11224578220000003
AB01_Jinwoo::RD_0p8mps,AB01_Jinwoo,RD_0p8mps,ankle,ankle_angle_r,0.1967432042,0.15885664830000001,-0.03788655589999998,0.8480175094,0.9169761971,0.06895868770000002
AB02_Oscar::LG_0p8mps,AB02_Oscar,LG_0p8mps,ankle,ankle_angle_r,0.14095907030000002,0.1629367623,0.021977691999999993,0.9551685967,0.9004211715,-0.05474742519999998
AB02_Oscar::LG_1p2mps,AB02_Oscar,LG_1p2mps,ankle,ankle_angle_r,0.1301245698,0.1666280494,0.0365034796,0.9847160531,0.9585386055,-0.02617744759999996
AB02_Oscar::LG_1p6mps,AB02_Oscar,LG_1p6mps,ankle,ankle_angle_r,0.1138276121,0.2136540258,0.0998264137,0.9729876362000001,0.9711965588,-0.0017910774000000629
AB02_Oscar::RA_0p8mps,AB02_Oscar,RA_0p8mps,ankle,ankle_angle_r,0.1473010568,0.1772038936,0.0299028368,0.9292295722,0.9050675624000001,-0.02416200979999994
AB02_Oscar::RD_0p8mps,AB02_Oscar,RD_0p8mps,ankle,ankle_angle_r,0.1417127195,0.1627187638,0.0210060443,0.9016912802,0.8791526311000001,-0.02253864909999992
