subject,condition,task,speed_mps,rmse_encoder_replay_nmpkg,r2_encoder_replay_nmpkg,rmse_vicon_oracle_nmpkg,r2_vicon_oracle_nmpkg,encoder_replay_excluded,encoder_correction_note,offset_s
AB01_Jinwoo,RA_0p8mps,RA,0.8,0.1344,0.8133,0.1133,0.8673,False,no LPF; logged raw vel; GT ID xcorr shift +3 samples,-0.051
AB01_Jinwoo,RD_0p8mps,RD,0.8,0.2287,0.6491,0.1534,0.842,False,no LPF; logged raw vel; GT ID xcorr shift +2 samples,-0.1201
AB03_Ilseung,RA_0p8mps,RA,0.8,0.1778,0.7282,0.1712,0.7481,False,no LPF; logged raw vel; GT ID xcorr shift +3 samples,-0.1801
AB03_Ilseung,RD_0p8mps,RD,0.8,0.2593,0.3477,0.1601,0.7512,False,no LPF; logged raw vel; GT ID xcorr shift +2 samples,-0.1961
AB04_Changseob,RA_0p8mps,RA,0.8,0.1249,0.8147,0.1151,0.8428,False,no LPF; logged raw vel; GT ID xcorr shift +3 samples,-0.2131
AB04_Changseob,RD_0p8mps,RD,0.8,0.1831,0.7176,0.1617,0.7799,False,no LPF; logged raw vel; GT ID xcorr shift +2 samples,-0.23
AB05_Maria,RA_0p8mps,RA,0.8,0.2038,0.7323,0.1564,0.8424,False,no LPF; logged raw vel; GT ID xcorr shift +3 samples,-0.1791
AB06_Jimin,RA_0p8mps,RA,0.8,0.2066,0.5076,0.1468,0.7513,False,no LPF; logged raw vel; GT ID xcorr shift +3 samples,-0.237
AB06_Jimin,RD_0p8mps,RD,0.8,0.1694,0.7072,0.1093,0.8782,False,no LPF; logged raw vel; GT ID xcorr shift +3 samples,-0.2301
AB07_Amy,RA_0p8mps,RA,0.8,0.159,0.3418,0.1596,0.3367,False,no LPF; logged raw vel; GT ID xcorr shift +4 samples,-0.238
AB07_Amy,RD_0p8mps,RD,0.8,0.1929,0.6214,0.1942,0.6161,False,no LPF; logged raw vel; GT ID xcorr shift +3 samples,-0.2341
AB08_Seokhyun,RA_0p8mps,RA,0.8,0.214,0.3052,0.194,0.4288,False,no LPF; logged raw vel; GT ID xcorr shift +4 samples,-0.2351
AB08_Seokhyun,RD_0p8mps,RD,0.8,0.2439,0.0714,0.2369,0.1239,False,no LPF; logged raw vel; GT ID xcorr shift +4 samples,-0.2381
